season,player_id,player,team,carries,receptions,touches,prior_ppr_points,prior_games,prior_ppr_ppg,next_season,next_team,next_touches,next_ppr_points,next_games,next_ppr_ppg,ppg_retention,absent_next_year,severe_decline_30pct,retained_or_improved
2014,00-0028009,DeMarco Murray,DAL,392.0,57.0,449.0,361.1,16,22.569,2015,PHI,237.0,188.4,15,12.56,0.556516,0,1,0
2014,00-0030496,Le'Veon Bell,PIT,290.0,83.0,373.0,370.5,16,23.156,2015,PIT,137.0,111.2,6,18.533,0.800354,0,0,0
2014,00-0026184,Matt Forte,CHI,266.0,102.0,368.0,350.6,16,21.913,2015,CHI,262.0,216.7,13,16.669,0.76069,0,0,0
2014,00-0027029,LeSean McCoy,PHI,312.0,28.0,340.0,205.4,16,12.838,2015,BUF,235.0,182.7,12,15.225,1.185932,0,0,1
2015,00-0025394,Adrian Peterson,MIN,327.0,30.0,357.0,266.7,16,16.669,2016,MIN,40.0,11.0,3,3.667,0.219989,0,1,0
2015,00-0031285,Devonta Freeman,ATL,265.0,73.0,338.0,320.4,15,21.36,2016,ATL,281.0,286.1,16,17.881,0.837125,0,0,0
2016,00-0032187,David Johnson,ARI,293.0,80.0,373.0,413.8,16,25.862,2017,ARI,17.0,15.0,1,15.0,0.580002,0,1,0
2016,00-0033045,Ezekiel Elliott,DAL,322.0,32.0,354.0,327.4,15,21.827,2017,DAL,268.0,205.2,10,20.52,0.94012,0,0,0
2016,00-0028009,DeMarco Murray,TEN,293.0,53.0,346.0,295.8,16,18.488,2017,TEN,223.0,173.5,15,11.567,0.625649,0,1,0
2016,00-0030496,Le'Veon Bell,PIT,261.0,75.0,336.0,319.4,12,26.617,2017,PIT,407.0,347.4,15,23.16,0.870121,0,0,0
2017,00-0030496,Le'Veon Bell,PIT,321.0,86.0,407.0,347.4,15,23.16,2018,,0.0,0.0,0,0.0,0.0,1,1,0
2017,00-0027029,LeSean McCoy,BUF,287.0,59.0,346.0,265.6,16,16.6,2018,BUF,195.0,127.2,14,9.086,0.547349,0,1,0
2017,00-0032241,Todd Gurley,LA,279.0,64.0,343.0,387.3,15,25.82,2018,LA,315.0,374.1,14,26.721,1.034895,0,0,1
2017,00-0032144,Melvin Gordon,LAC,284.0,58.0,342.0,288.1,16,18.006,2018,LAC,225.0,275.5,12,22.958,1.275019,0,0,1
2017,00-0033923,Kareem Hunt,KC,272.0,53.0,325.0,297.2,16,18.575,2018,KC,207.0,230.2,11,20.927,1.126622,0,0,1
2018,00-0033045,Ezekiel Elliott,DAL,304.0,77.0,381.0,331.1,15,22.073,2019,DAL,355.0,315.7,16,19.731,0.893898,0,0,0
2018,00-0034844,Saquon Barkley,NYG,261.0,91.0,352.0,385.8,16,24.113,2019,NYG,269.0,244.1,13,18.777,0.778709,0,0,0
2018,00-0033280,Christian McCaffrey,CAR,219.0,107.0,326.0,387.5,16,24.219,2019,CAR,403.0,471.2,16,29.45,1.215987,0,0,1
2019,00-0033280,Christian McCaffrey,CAR,287.0,116.0,403.0,471.2,16,29.45,2020,CAR,76.0,90.4,3,30.133,1.023192,0,0,1
2019,00-0033045,Ezekiel Elliott,DAL,301.0,54.0,355.0,315.7,16,19.731,2020,DAL,296.0,233.7,15,15.58,0.78962,0,0,0
2019,00-0033856,Leonard Fournette,JAX,265.0,76.0,341.0,261.4,15,17.427,2020,TB,133.0,132.0,12,11.0,0.631204,0,1,0
2019,00-0034791,Nick Chubb,CLE,299.0,36.0,335.0,263.1,16,16.444,2020,CLE,206.0,209.7,12,17.475,1.062698,0,0,1
2020,00-0032764,Derrick Henry,TEN,378.0,19.0,397.0,337.1,16,21.069,2021,TEN,237.0,193.3,8,24.163,1.146851,0,0,1
2020,00-0033893,Dalvin Cook,MIN,312.0,44.0,356.0,343.8,14,24.557,2021,MIN,283.0,210.3,13,16.177,0.658753,0,1,0
2021,00-0036893,Najee Harris,PIT,307.0,74.0,381.0,300.7,17,17.688,2022,PIT,313.0,227.46,17,13.38,0.756445,0,0,0
2021,00-0036223,Jonathan Taylor,IND,332.0,40.0,372.0,377.1,17,22.182,2022,IND,220.0,152.4,11,13.855,0.624606,0,1,0
2021,00-0033897,Joe Mixon,CIN,292.0,42.0,334.0,289.9,16,18.119,2022,CIN,270.0,239.5,14,17.107,0.944147,0,0,0
2022,00-0035700,Josh Jacobs,LV,340.0,53.0,393.0,330.3,17,19.429,2023,LV,270.0,183.1,13,14.085,0.724947,0,0,0
2022,00-0032764,Derrick Henry,TEN,349.0,33.0,382.0,308.76,16,19.298,2023,TEN,308.0,246.66,17,14.509,0.75184,0,0,0
