season,player_id,player,team,carries,receptions,touches,prior_ppr_points,prior_games,prior_ppr_ppg,next_season,next_team,next_touches,next_ppr_points,next_games,next_ppr_ppg,ppg_retention,absent_next_year,severe_decline_30pct,retained_or_improved
2014,00-0028009,DeMarco Murray,DAL,392.0,57.0,449.0,361.1,16,22.569,2015,PHI,237.0,188.4,15,12.56,0.556516,0,1,0
2014,00-0030496,Le'Veon Bell,PIT,290.0,83.0,373.0,370.5,16,23.156,2015,PIT,137.0,111.2,6,18.533,0.800354,0,0,0
2014,00-0026184,Matt Forte,CHI,266.0,102.0,368.0,350.6,16,21.913,2015,CHI,262.0,216.7,13,16.669,0.76069,0,0,0
2014,00-0027029,LeSean McCoy,PHI,312.0,28.0,340.0,205.4,16,12.838,2015,BUF,235.0,182.7,12,15.225,1.185932,0,0,1
2014,00-0025399,Marshawn Lynch,SEA,280.0,37.0,317.0,306.3,16,19.144,2015,SEA,124.0,82.7,7,11.814,0.617112,0,1,0
2014,00-0026796,Arian Foster,HOU,260.0,38.0,298.0,277.5,13,21.346,2015,HOU,85.0,79.0,4,19.75,0.925232,0,0,0
2014,00-0030485,Eddie Lacy,GB,246.0,42.0,288.0,276.6,16,17.288,2015,GB,207.0,144.6,15,9.64,0.557612,0,1,0
2014,00-0029141,Alfred Morris,WAS,265.0,17.0,282.0,187.9,16,11.744,2015,WAS,212.0,96.6,16,6.038,0.514135,0,1,0
2014,00-0026373,Justin Forsett,BAL,235.0,44.0,279.0,246.9,16,15.431,2015,BAL,182.0,122.4,10,12.24,0.793208,0,0,0
2014,00-0023500,Frank Gore,SF,255.0,11.0,266.0,162.7,16,10.169,2015,IND,294.0,199.4,16,12.462,1.225489,0,0,1
2014,00-0027218,Joique Bell,DET,223.0,34.0,257.0,200.2,15,13.347,2015,DET,112.0,105.7,13,8.131,0.609201,0,1,0
2014,00-0027966,Mark Ingram,NO,226.0,29.0,255.0,193.9,13,14.915,2015,NO,216.0,205.4,12,17.117,1.147637,0,0,1
2014,00-0029615,Lamar Miller,MIA,216.0,38.0,254.0,229.4,16,14.338,2015,MIA,241.0,233.9,16,14.619,1.019598,0,0,1
2014,00-0031301,Jeremy Hill,CIN,222.0,27.0,249.0,214.9,16,13.431,2015,CIN,238.0,176.3,16,11.019,0.820415,0,0,0
2014,00-0030287,Andre Ellington,ARI,201.0,46.0,247.0,181.5,12,15.125,2015,ARI,60.0,76.7,10,7.67,0.507107,0,1,0
2014,00-0026213,Jamaal Charles,KC,206.0,40.0,246.0,256.4,15,17.093,2015,KC,92.0,105.1,5,21.02,1.229743,0,0,1
2014,00-0031055,Andre Williams,NYG,217.0,18.0,235.0,145.1,16,9.069,2015,NYG,89.0,35.4,16,2.213,0.244018,0,1,0
2014,00-0027531,Chris Ivory,NYJ,198.0,18.0,216.0,154.4,16,9.65,2015,NYJ,277.0,206.7,15,13.78,1.427979,0,0,1
2014,00-0029854,C.J. Anderson,DEN,179.0,34.0,213.0,211.3,14,15.093,2015,DEN,177.0,145.3,15,9.687,0.641821,0,1,0
2014,00-0030456,Giovani Bernard,CIN,168.0,43.0,211.0,187.9,13,14.454,2015,CIN,203.0,181.2,16,11.325,0.78352,0,0,0
2014,00-0022736,Steven Jackson,ATL,190.0,20.0,210.0,141.5,15,9.433,2015,NE,22.0,14.0,2,7.0,0.742076,0,0,0
2014,00-0028198,Matt Asiata,MIN,164.0,44.0,208.0,196.2,15,13.08,2015,MIN,48.0,43.4,15,2.893,0.221177,0,1,0
2014,00-0024204,Fred Jackson,BUF,141.0,66.0,207.0,188.6,14,13.471,2015,SEA,58.0,79.7,15,5.313,0.394403,0,1,0
2014,00-0026153,Jonathan Stewart,CAR,175.0,25.0,200.0,148.0,13,11.385,2015,CAR,258.0,166.8,13,12.831,1.127009,0,0,1
2015,00-0025394,Adrian Peterson,MIN,327.0,30.0,357.0,266.7,16,16.669,2016,MIN,40.0,11.0,3,3.667,0.219989,0,1,0
2015,00-0031285,Devonta Freeman,ATL,265.0,73.0,338.0,320.4,15,21.36,2016,ATL,281.0,286.1,16,17.881,0.837125,0,0,0
2015,00-0029613,Doug Martin,TB,288.0,33.0,321.0,242.3,16,15.144,2016,TB,158.0,87.5,8,10.938,0.722266,0,0,0
2015,00-0030513,Latavius Murray,LV,266.0,41.0,307.0,206.8,16,12.925,2016,LV,228.0,210.2,14,15.014,1.161625,0,0,1
2015,00-0023500,Frank Gore,IND,260.0,34.0,294.0,199.4,16,12.462,2016,IND,301.0,216.2,16,13.512,1.084256,0,0,1
