threshold,low_n,high_n,low_avg_next_ppg,high_avg_next_ppg,next_ppg_delta_high_minus_low,low_avg_retention,high_avg_retention,retention_delta_high_minus_low,low_absent_rate,high_absent_rate,absent_rate_delta,low_severe_decline_rate,high_severe_decline_rate,severe_decline_delta,high_retain_or_improve_rate,risk_score
250,130,155,10.537,14.192,3.655,0.8185,0.8567,0.0383,0.0615,0.0129,-0.0486,0.3154,0.2839,-0.0315,0.3097,-0.07833
255,138,147,10.71,14.229,3.519,0.8237,0.8539,0.0302,0.058,0.0136,-0.0444,0.3043,0.2925,-0.0118,0.3061,-0.05831
260,147,138,10.799,14.363,3.563,0.8302,0.849,0.0189,0.0544,0.0145,-0.0399,0.2993,0.2971,-0.0022,0.3043,-0.03992
265,154,131,10.795,14.558,3.762,0.8246,0.8565,0.0319,0.0519,0.0153,-0.0367,0.3052,0.2901,-0.0151,0.313,-0.05778
270,163,122,11.029,14.524,3.495,0.8364,0.8431,0.0067,0.0491,0.0164,-0.0327,0.2945,0.3033,0.0088,0.2869,-0.01864
275,176,109,11.225,14.624,3.399,0.8428,0.8336,-0.0092,0.0455,0.0183,-0.0271,0.2898,0.3119,0.0222,0.2661,0.00672
280,184,101,11.283,14.786,3.503,0.8409,0.8363,-0.0047,0.0435,0.0198,-0.0237,0.2935,0.3069,0.0135,0.2673,-0.00045
285,198,87,11.421,15.038,3.617,0.8412,0.8348,-0.0064,0.0455,0.0115,-0.034,0.2879,0.3218,0.034,0.2529,0.00641
290,205,80,11.517,15.106,3.589,0.8405,0.8361,-0.0044,0.0439,0.0125,-0.0314,0.2927,0.3125,0.0198,0.2625,-0.00137
295,208,77,11.492,15.315,3.824,0.8393,0.8392,-0.0001,0.0433,0.013,-0.0303,0.2981,0.2987,0.0006,0.2597,-0.01477
300,218,67,11.542,15.721,4.179,0.837,0.8466,0.0095,0.0413,0.0149,-0.0264,0.2982,0.2985,0.0003,0.2836,-0.02253
305,226,59,11.631,15.949,4.318,0.8361,0.8514,0.0152,0.0398,0.0169,-0.0229,0.292,0.322,0.03,0.2881,-0.01167
310,234,51,11.699,16.315,4.616,0.8395,0.8382,-0.0013,0.0385,0.0196,-0.0189,0.2906,0.3333,0.0427,0.2745,0.01328
315,238,47,11.709,16.658,4.949,0.8387,0.8423,0.0036,0.0378,0.0213,-0.0165,0.2941,0.3191,0.025,0.2766,0.00063
320,241,44,11.739,16.831,5.092,0.8372,0.8509,0.0137,0.0373,0.0227,-0.0146,0.2988,0.2955,-0.0033,0.2955,-0.02266
325,245,40,11.87,16.535,4.665,0.8441,0.8098,-0.0343,0.0367,0.025,-0.0117,0.2939,0.325,0.0311,0.25,0.04401
330,250,35,12.014,16.171,4.156,0.8462,0.7899,-0.0563,0.036,0.0286,-0.0074,0.296,0.3143,0.0183,0.2,0.06172
335,251,34,12.035,16.143,4.108,0.8466,0.7854,-0.0612,0.0359,0.0294,-0.0064,0.2948,0.3235,0.0287,0.2059,0.07235
340,257,28,12.145,16.014,3.869,0.8464,0.774,-0.0723,0.035,0.0357,0.0007,0.2918,0.3571,0.0653,0.2143,0.10535
345,262,23,12.265,15.48,3.215,0.8491,0.727,-0.1222,0.0344,0.0435,0.0091,0.2901,0.3913,0.1012,0.1304,0.17735
350,264,21,12.251,15.971,3.72,0.8472,0.7403,-0.1068,0.0341,0.0476,0.0135,0.2955,0.3333,0.0379,0.1429,0.13251
355,268,17,12.333,15.551,3.219,0.8477,0.7072,-0.1404,0.0336,0.0588,0.0252,0.291,0.4118,0.1207,0.1765,0.2134
360,271,14,12.327,16.354,4.027,0.8444,0.7396,-0.1048,0.0332,0.0714,0.0382,0.2952,0.3571,0.0619,0.2143,0.15489
365,271,14,12.327,16.354,4.027,0.8444,0.7396,-0.1048,0.0332,0.0714,0.0382,0.2952,0.3571,0.0619,0.2143,0.15489
370,273,12,12.378,15.872,3.495,0.845,0.7091,-0.1359,0.033,0.0833,0.0504,0.293,0.4167,0.1236,0.1667,0.22293
375,276,9,12.415,15.898,3.483,0.8431,0.7227,-0.1204,0.0326,0.1111,0.0785,0.2971,0.3333,0.0362,0.2222,0.1778
380,277,8,12.422,16.07,3.648,0.8424,0.7317,-0.1107,0.0325,0.125,0.0925,0.2996,0.25,-0.0496,0.25,0.13211
385,280,5,12.459,16.188,3.729,0.8419,0.6903,-0.1516,0.0321,0.2,0.1679,0.2964,0.4,0.1036,0.4,0.28735
390,280,5,12.459,16.188,3.729,0.8419,0.6903,-0.1516,0.0321,0.2,0.1679,0.2964,0.4,0.1036,0.4,0.28735
395,281,4,12.465,16.714,4.249,0.8415,0.6816,-0.1599,0.032,0.25,0.218,0.2954,0.5,0.2046,0.5,0.37118
400,282,3,12.507,14.231,1.724,0.8426,0.5266,-0.316,0.0319,0.3333,0.3014,0.2943,0.6667,0.3723,0.3333,0.65292
