captured_at,published,headline,description,url
2026-08-12T13:53:31.719599+00:00,2026-08-12T10:59:06Z,Ex-QB Matt Hasselbeck part of quest for living diagnosis of CTE,Former NFL quarterback Matt Hasselbeck recently spent two days going through a battery of scans and tests to determine how much collisions affected his brain. The hope is that it will be a small step toward  diagnosing CTE in the living.,https://www.espn.com/nfl/story/_/id/49589099/ex-qb-matt-hasselbeck-part-quest-living-diagnosis-cte
2026-08-12T13:53:31.719599+00:00,2026-08-12T10:41:04Z,"Future of QB Bo Nix, Broncos will be defined by 2026 season","Nix has been a winner for the Broncos in his two NFL seasons, but is he truly their next alpha franchise QB? This season could give us the answer.",https://www.espn.com/nfl/story/_/id/49576234/bo-nix-denver-broncos-2026-season-super-bowl-expectations-long-term-contract-extension
2026-08-12T13:53:31.719599+00:00,2026-08-12T10:00:10Z,What have 2026 NFL rookies spent their first paychecks on?,"Jeremiyah Love, Drew Allar and Carnell Tate are among the NFL rookies who just got their first pro contracts. How did they spend their new money?",https://www.espn.com/nfl/story/_/id/49554282/2026-nfl-rookies-spent-their-first-paychecks-money-cash-nil
2026-08-12T13:53:31.719599+00:00,2026-08-12T00:21:12Z,CB Devon Witherspoon focused on being 'prepared' amid contract negotiations,"Seahawks CB Devon Witherspoon wasn't interested in talking Wednesday about his ongoing quest for a contact extension, but the three-time Pro Bowl selection did explain his decision to practice without one.",https://www.espn.com/nfl/story/_/id/49585948/cb-devon-witherspoon-focused-being-prepared-amid-contract-negotiations
2026-08-12T13:53:31.719599+00:00,2026-08-11T23:40:13Z,Rams' Nacua exits with groin soreness; Garrett sidelined again,"Myles Garrett is dealing with some swelling in his knee and did not take part in the Rams' joint practice Tuesday against the Cowboys, while Puka Nacua left the workout early with minor groin soreness.",https://www.espn.com/nfl/story/_/id/49585012/rams-myles-garrett-misses-practice-again-puka-nacua-exits-early
2026-08-12T13:53:31.719599+00:00,2026-08-11T20:39:00Z,"Fantasy football sleepers, busts and breakouts for 2026","Which players will surprise, disappoint or make a big jump this fantasy season? Our analysts give their picks.",https://www.espn.com/fantasy/football/story/_/page/FFSleepBustBreak26-49030808/fantasy-football-2026-rankings-nfl-sleepers-breakouts-busts
2026-08-12T13:53:31.719599+00:00,2026-08-11T21:10:00Z,"Bears' Coby Bryant undergoes knee surgery, out 4-6 months","Bears safety Coby Bryant underwent knee surgery and is expected to miss four to six months, coach Ben Johnson announced Tuesday.",https://www.espn.com/nfl/story/_/id/49584684/bears-coby-bryant-undergoes-knee-surgery-4-6-months
2026-08-12T13:53:31.719599+00:00,2026-08-11T21:37:57Z,"What Kyler Murray as QB1 means for Vikings, J.J. McCarthy","McCarthy, the No. 10 pick in 2024, will take a back seat to offseason addition Murray. Here's what we know.",https://www.espn.com/nfl/story/_/id/49582977/new-minnesota-vikings-kyler-murray-jj-mccarthy-starter-qb1
2026-08-12T13:53:31.719599+00:00,2026-08-12T00:12:34Z,"Seahawks' Nick Emmanwori passes physical, set to come off PUP list","Seahawks safety Nick Emmanwori (ankle) passed his physical, the team announced Tuesday, clearing the way for his return off the physically unable to perform list.",https://www.espn.com/nfl/story/_/id/49584391/seahawks-nick-emmanwori-passes-physical-set-come-pup-list
2026-08-12T13:53:31.719599+00:00,2026-08-11T19:43:32Z,Packers QB Love expected to play in first preseason game,Jordan Love is expected to play in the Packers' first preseason game Thursday but said he will still be playing it safe after the thumb injury he sustained before last season.,https://www.espn.com/nfl/story/_/id/49584388/packers-qb-love-expected-play-first-preseason-game
2026-08-12T13:53:31.719599+00:00,2026-08-11T18:51:10Z,McDuffie to Eisen: Being with Rams 'feels like I'm back at home',McDuffie to Eisen: Being with Rams 'feels like I'm back at home',https://www.espn.com/video/clip/_/id/49584115/being-rams-feels-back-home
